Sample,oprm1-: vgat+ Cell Density (cells/mm^2),oprm1-: vgat+ Cell Count,oprm1-: vgat+ Cell Area (mm^2),oprm1-: vgat+ Cell Percentage,oprm1-: vgat+ Intensity,oprm1+: vgat- Cell Density (cells/mm^2),oprm1+: vgat- Cell Count,oprm1+: vgat- Cell Area (mm^2),oprm1+: vgat- Cell Percentage,oprm1+: vgat- Intensity,Double Positive Cell Density (cells/mm^2),Double Positive Cell Count,Double Positive Cell Area (mm^2),Double Positive Cell Percentage,Double Negative Cell Density (cells/mm^2),Double Negative Cell Count,Double Negative Cell Area (mm^2),Double Negative Cell Percentage,Total Cell Area (mm^2),Total Annotation Area (mm^2),Subcellular cluster: Channel 2: Area (vgat_Neg: oprm1_Pos),Subcellular cluster: Channel 2: Area (vgat_Pos: oprm1_Neg),Subcellular cluster: Channel 2: Area (vgat_Pos: oprm1_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Neg: oprm1_Pos),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Pos: oprm1_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Pos: oprm1_Pos),Subcellular: Channel 2: Num spots estimated (vgat_Neg: oprm1_Pos),Subcellular: Channel 2: Num spots estimated (vgat_Pos: oprm1_Neg),Subcellular: Channel 2: Num spots estimated (vgat_Pos: oprm1_Pos),Subcellular: Channel 2: Num single spots (vgat_Neg: oprm1_Pos),Subcellular: Channel 2: Num single spots (vgat_Pos: oprm1_Neg),Subcellular: Channel 2: Num single spots (vgat_Pos: oprm1_Pos),Subcellular: Channel 2: Num clusters (vgat_Neg: oprm1_Pos),Subcellular: Channel 2: Num clusters (vgat_Pos: oprm1_Neg),Subcellular: Channel 2: Num clusters (vgat_Pos: oprm1_Pos),Subcellular cluster: Channel 2: Area (vgat_Neg: oprm1_Neg),Subcellular cluster: Channel 2: Mean channel intensity (vgat_Neg: oprm1_Neg),Subcellular: Channel 2: Num spots estimated (vgat_Neg: oprm1_Neg),Subcellular: Channel 2: Num single spots (vgat_Neg: oprm1_Neg),Subcellular: Channel 2: Num clusters (vgat_Neg: oprm1_Neg)
2024_06_25__RecognizedCode-15.czi - Scene #3.csv,1583.143503541668,223,0.05876800230000001,4.19172932330827,548.0896291479821,34616.1781312519,4876,0.0236838399,91.65413533834587,100.09332921348314,1568.944907097348,221,0.058407151000000004,4.154135338345865,4756.529808847164,670,0.17522469280000003,12.593984962406015,0.1408589932,0.5441385,0.0,0.0,0.0,0.0,0.0,0.0,1834.6992,476.71569999999997,7940.1943,365.0,249.0,1825.0,327.0,68.0,1325.0,0.0,0.0,948.4011999999999,476.0,152.0
2024_06_25__RecognizedCode-15.czi - Scene #4.csv,1564.7106583617842,251,0.06235999799999999,3.5173766816143495,620.3483047808766,41430.545958057446,6646,0.0398807475,93.13340807174887,112.56982364864864,1489.903774296679,239,0.0581722987,3.349215246636771,5741.428351996826,921,0.2411233266,12.906390134529147,0.1604130442,0.6313321999999999,0.0,0.0,0.0,0.0,0.0,0.0,4449.835,636.0004,10128.7664,819.0,385.0,2313.0,669.0,75.0,1303.0,0.0,0.0,1380.4948,723.0,201.0
2024_06_25__RecognizedCode-15.czi - Scene #5.csv,1613.7405396675272,225,0.0561346029,4.165124028137726,654.081516,35588.358034801204,4962,0.0253203807,91.85486856719733,111.82484235294118,1542.018737904526,215,0.0579726347,3.980007404664939,4819.705078473681,672,0.1775516845,12.439837097371344,0.1394276183,0.5064184,0.0,0.0,0.0,0.0,0.0,0.0,1641.1218000000001,559.2473,7363.4532,439.0,356.0,1873.0,290.0,63.0,1147.0,0.0,0.0,1021.4819,555.0,142.0
2024_06_25__RecognizedCode-17.czi - Scene #1.csv,2258.123969905376,428,0.11090339780000001,7.408689631296521,551.182430140187,27007.79579893836,5119,0.019454959,88.61000519300674,111.62650540540542,1213.4778342949448,230,0.0591795099,3.981305175696728,5101.8828946226595,967,0.2515186473,16.73879176042929,0.18953786670000003,0.7031261999999999,0.0,0.0,0.0,0.0,0.0,0.0,1850.4551000000001,940.9569999999999,8392.555400000001,348.0,480.0,1728.0,320.0,132.0,1237.0,0.0,0.0,1199.6448,627.0,173.0
2024_06_25__RecognizedCode-17.czi - Scene #2.csv,2114.5168376602574,94,0.022733518900000003,5.328798185941043,627.6517861702127,36081.75540007503,1604,0.0050523084,90.9297052154195,134.67756111111112,1484.660758357202,66,0.0166687726,3.741496598639456,9762.769229197358,434,0.11031545190000001,24.6031746031746,0.0444545999,0.24185,0.0,0.0,0.0,0.0,0.0,0.0,372.6774,189.2989,2627.9174999999996,83.0,108.0,687.0,71.0,24.0,342.0,0.0,0.0,379.4402,220.0,51.0
2024_06_25__RecognizedCode-17.czi - Scene #3.csv,2676.4816270351475,196,0.0465223308,8.49956634865568,546.8846137755102,27816.29119525814,2037,0.0082603483,88.3347788378144,119.44702424242425,996.8528508855396,73,0.018447788099999998,3.1656548135299225,11934.923173615913,874,0.2194314667,37.90112749349523,0.0732304672,0.4423635,0.0,0.0,0.0,0.0,0.0,0.0,856.7608,291.29859999999996,1978.1378,204.0,210.0,600.0,137.0,27.0,289.0,0.0,0.0,714.6559,453.0,84.0
2024_06_25__RecognizedCode-17.czi - Scene #4.csv,1766.315944550818,141,0.0333299569,4.358578052550232,588.7200822695035,37142.7430893133,2965,0.013797796900000001,91.65378670788253,116.10865576923077,1615.9911833124504,129,0.0326994144,3.987635239567233,8067.428853125722,644,0.16023662660000002,19.907264296754253,0.07982716819999999,0.4544136,0.0,0.0,0.0,0.0,0.0,0.0,1371.2238,308.3932,4564.774,280.0,175.0,1151.0,183.0,40.0,622.0,0.0,0.0,656.5455999999999,372.0,90.0
2023_05_23__C1595b_scan2.czi - Scene #1.csv,0.0,0,0,0.0,,559562.7318152352,47597,0.0846652408,99.99579823105528,650.052649328859,23.51252103347838,2,0.00039582079999999996,0.00420176894472573,0.0,0,0,0.0,0.0850610616,0.247246,0.0,0.0,0.0,0.0,0.0,0.0,157830.47600000002,0.0,829.0303000000001,24833.0,0.0,78.0,22300.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0
2023_05_23__C1595b_scan2.czi - Scene #2.csv,0.0,0,0,0.0,,588292.0188143287,100057,0.16586630769999997,99.98700909363446,834.0163797909408,76.43439484080348,13,0.0042141911,0.012990906365544118,0.0,0,0,0.0,0.17008049879999998,0.4731012,0.0,0.0,0.0,0.0,0.0,0.0,304363.1042,0.0,7916.009399999999,52588.0,0.0,1285.0,44551.0,0.0,1059.0,0.0,0.0,0.0,0.0,0.0
2023_05_23__C1595b_scan2.czi - Scene #3.csv,0.0,0,0,0.0,,557207.9094879527,100347,0.17037042830000002,99.96214573890522,752.5075578688526,211.00681196789344,38,0.009718544400000001,0.037854261094785076,0.0,0,0,0.0,0.18008897270000002,0.42242009999999997,0.0,0.0,0.0,0.0,0.0,0.0,318981.56549999997,0.0,18616.881500000003,49310.0,0.0,2760.0,45176.0,0.0,2491.0,0.0,0.0,0.0,0.0,0.0
2023_05_23__C1595b_scan2.czi - Scene #5.csv,0.0,0,0,0.0,,562683.9308267925,272990,0.46625514669999996,99.97290012597779,647.6059099664054,152.5279712853315,74,0.0189017683,0.02709987402220725,0.0,0,0,0.0,0.48515691499999997,0.8179964000000001,0.0,0.0,0.0,0.0,0.0,0.0,859144.4295,0.0,36232.453,140605.0,0.0,5190.0,120617.0,0.0,4792.0,0.0,0.0,0.0,0.0,0.0
2023_12_11__C1595b_scan3.czi - Scene #2.csv,3202.3812052674048,3,0.0009368029,6.25,542.7687333333333,48035.71807901107,45,0.0,93.75,,0.0,0,0,0.0,702388.9443553174,658,0.1784866817,1370.8333333333335,0.0009368029,0.4735871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.946600000000004,43.0,1.0
2023_06_23__RecognizedCode-2.czi - Scene #1.csv,245.9341113987206,82,0.0193168294,0.2888646211293902,474.6841426829268,83086.74009852142,27703,0.1671950512,97.59044633106704,185.69737496274217,1805.5162812442659,602,0.1469107566,2.1206890478035723,2048.4511961625144,683,0.1578949966,2.4060309296508966,0.3334226372,0.8983833,0.0,0.0,0.0,0.0,0.0,0.0,17533.2012,422.0551,37144.170900000005,6190.0,308.0,11782.0,2330.0,37.0,4261.0,0.0,0.0,2671.9574000000002,1842.0,270.0
2023_06_23__RecognizedCode-2.czi - Scene #2.csv,867.829439713014,202,0.045729952,0.6702946641890097,566.371953960396,126471.1041894639,29438,0.06645980509999999,97.68383328908946,206.61147481203008,2130.90793117651,496,0.1205748747,1.645872046721529,5718.222694346642,1331,0.3211427575,4.416644544730555,0.23276463179999998,0.8206131,0.0,0.0,0.0,0.0,0.0,0.0,8368.752400000001,893.1446,35674.8313,4082.0,830.0,17392.0,807.0,22.0,3179.0,0.0,0.0,3058.86,2768.0,92.0
2023_06_23__RecognizedCode-2.czi - Scene #3.csv,1210.54697554424,172,0.0402695256,1.0899873257287707,625.2265959302326,107992.05112064429,15344,0.035545415200000006,97.23700887198986,222.43171914893617,1858.0488461841824,264,0.0662695908,1.6730038022813687,6756.541258851572,960,0.2302864845,6.083650190114068,0.1420845316,0.553944,0.0,0.0,0.0,0.0,0.0,0.0,4669.982599999999,703.5958,15592.1561,2276.0,659.0,8780.0,420.0,14.0,1254.0,0.0,0.0,1922.4873,1737.0,63.0
2023_06_23__RecognizedCode-2.czi - Scene #4.csv,48.6393736363667,11,0.0023155656999999997,0.03517298714587197,491.06550000000004,136897.7279801739,30960,0.1523824518,98.99597109419965,193.660936875,1339.793655619919,303,0.07145621059999999,0.9688559186544734,1388.4330292562856,314,0.06926201159999999,1.0040289058003453,0.2261542281,0.4767667,0.0,0.0,0.0,0.0,0.0,0.0,19971.6135,67.1305,31455.283300000003,11672.0,62.0,12556.0,1703.0,2.0,2955.0,0.0,0.0,1512.8756,1297.0,73.0
2024_06_25__RecognizedCode-19.czi - Scene #1.csv,1981.4022632546275,47,0.012361416399999998,3.4584253127299487,656.2840425531915,54762.58595676088,1299,0.0077710886,95.58498896247241,218.98904516129033,548.0474345172374,13,0.0035880694999999995,0.9565857247976454,41862.39249812436,993,0.2214875383,73.06843267108167,0.023720574499999997,0.3829497,0.0,0.0,0.0,0.0,0.0,0.0,454.90020000000004,118.2877,278.2692,226.0,110.0,180.0,61.0,3.0,27.0,0.0,0.0,723.9007999999999,628.0,33.0
2024_06_25__RecognizedCode-19.czi - Scene #2.csv,2850.1312273862777,130,0.029180620000000004,5.4575986565911,686.279396153846,48627.623556482795,2218,0.0075150998,93.1150293870697,286.52931785714287,745.4189363933341,34,0.0089162151,1.4273719563392109,28062.83054657258,1280,0.2876735221,53.73635600335852,0.045611934900000005,0.5086362,0.0,0.0,0.0,0.0,0.0,0.0,445.1622,252.9435,747.5420000000001,339.0,234.0,566.0,31.0,6.0,51.0,0.0,0.0,1011.9574,935.0,26.0
2024_06_25__RecognizedCode-19.czi - Scene #3.csv,4498.17375639639,286,0.0574782774,14.591836734693878,643.9522748251749,26029.641842084002,1655,0.0018538018,84.43877551020408,223.09124444444444,298.8297250752846,19,0.0042492797,0.9693877551020408,33248.7388846922,2114,0.467561015,107.85714285714285,0.0635813589,0.7574337,0.0,0.0,0.0,0.0,0.0,0.0,145.8571,511.75329999999997,468.0289,91.0,464.0,352.0,16.0,16.0,30.0,0.0,0.0,693.6256999999999,666.0,11.0
2024_06_25__RecognizedCode-19.czi - Scene #4.csv,3695.2761468029407,217,0.0469265569,8.031088082901555,609.6857138248847,41959.26463466565,2464,0.0065826593,91.19170984455958,278.2101653846154,357.60736904544586,21,0.0052144059,0.7772020725388601,47493.66439370231,2789,0.6368914766,103.21983715766099,0.0587236221,0.9809445999999999,0.0,0.0,0.0,0.0,0.0,0.0,408.99899999999997,389.5219,491.1293,276.0,369.0,353.0,36.0,7.0,40.0,0.0,0.0,1396.5928,1337.0,20.0
2024_06_25__RecognizedCode-19.czi - Scene #5.csv,2959.5188391967613,69,0.015630653600000002,5.219364599092285,572.1509971014493,53357.12226030103,1244,0.0054730303999999995,94.0998487140696,259.06399090909093,386.0241964169689,9,0.0022109167,0.680786686838124,61034.714611260744,1423,0.3227984904,107.63993948562785,0.0233146007,0.5423715,0.0,0.0,0.0,0.0,0.0,0.0,331.39689999999996,101.23429999999999,191.851,213.0,89.0,107.0,35.0,4.0,25.0,0.0,0.0,789.3553999999999,727.0,22.0
